Class,Support,MobileNetV2 Precision,MobileNetV2 Recall,MobileNetV2 F1,EfficientNet-B0 Baseline Precision,EfficientNet-B0 Baseline Recall,EfficientNet-B0 Baseline F1,EfficientNet-B0 Augmented Precision,EfficientNet-B0 Augmented Recall,EfficientNet-B0 Augmented F1
Bird-drop,41,76.19%,78.05%,77.11%,77.78%,85.37%,81.40%,73.81%,75.61%,74.70%
Clean,39,82.05%,82.05%,82.05%,85.37%,89.74%,87.50%,70.00%,89.74%,78.65%
Dusty,37,75.61%,83.78%,79.49%,81.08%,81.08%,81.08%,80.56%,78.38%,79.45%
Electrical-damage,21,90.91%,95.24%,93.02%,90.91%,95.24%,93.02%,95.24%,95.24%,95.24%
Physical-damage,13,100.00%,61.54%,76.19%,88.89%,61.54%,72.73%,100.00%,38.46%,55.56%
Snow-Covered,26,96.00%,92.31%,94.12%,100.00%,88.46%,93.88%,95.65%,84.62%,89.80%
